month,avg_tmax_celsius,avg_tmean_celsius
2016-04,17.43,23.48
2016-05,12.77,18.8
2016-06,10.86,17.64
2016-07,9.4,17.02
2016-08,13.33,21.86
2016-09,17.87,25.55
2016-10,19.81,27.53
2016-11,19.65,25.85
2016-12,20.63,26.08
2017-01,19.26,24.03
2017-02,18.93,23.04
2017-03,18.52,24.52
2017-04,15.96,21.73
2017-05,12.65,19.11
2017-06,11.31,18.77
2017-07,11.39,18.94
2017-08,12.83,20.29
2017-09,18.2,26.03
2017-10,16.91,23.44
2017-11,19.35,26.54
2017-12,19.58,25.29
2018-01,21.39,27.83
2018-02,19.26,24.33
2018-03,18.42,23.85
2018-04,15.84,21.13
2018-05,12.77,18.98
2018-06,10.42,17.93
2018-07,9.26,16.45
2018-08,14.57,22.12
2018-09,17.82,26.23
2018-10,18.6,26.08
2018-11,20.34,27.55
2018-12,22.12,28.83
2019-01,20.69,26.36
2019-02,19.51,24.45
2019-03,20.12,26.2
2019-04,15.72,20.88
2019-05,14.41,21.16
2019-06,10.98,18.64
2019-07,11.01,19.2
2019-08,15.69,23.33
2019-09,17.31,25.24
2019-10,20.95,28.79
2019-11,20.75,27.19
2019-12,19.31,23.96
2020-01,20.21,25.46
2020-02,20.07,25.62
2020-03,17.86,23.11
2020-04,14.96,20.35
2020-05,12.47,19.27
2020-06,9.09,16.08
2020-07,9.63,17.65
2020-08,12.42,20.27
2020-09,17.14,24.62
2020-10,19.27,25.86
2020-11,19.38,25.16
2020-12,19.99,25.1
2021-01,19.89,24.67
2021-02,18.45,23.02
2021-03,18.04,23.44
2021-04,17.13,23.65
2021-05,12.82,19.72
2021-06,10.37,17.1
2021-07,8.71,16.33
2021-08,13.18,20.9
2021-09,17.7,25.47
2021-10,16.91,23.45
2021-11,19.5,26.14
2021-12,18.42,23.33
2022-01,18.92,23.67
2022-02,19.62,25.05
2022-03,17.6,22.32
